sample interval	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
    (0.001 sec)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
           3325	 -0.013	 -0.125	 -0.113	  0.070	  0.048	 -0.118	 -0.003	 -0.115	 -0.188	 -0.235	 -0.145	 -0.085
           3326	 -0.020	 -0.125	 -0.105	  0.073	  0.043	 -0.115	 -0.003	 -0.123	 -0.195	 -0.235	 -0.148	 -0.090
           3327	 -0.025	 -0.135	 -0.108	  0.080	  0.043	 -0.120	  0.008	 -0.118	 -0.198	 -0.245	 -0.160	 -0.103
           3328	 -0.033	 -0.135	 -0.103	  0.083	  0.035	 -0.118	  0.015	 -0.123	 -0.198	 -0.238	 -0.153	 -0.100
           3329	 -0.040	 -0.145	 -0.105	  0.090	  0.033	 -0.123	  0.020	 -0.118	 -0.198	 -0.248	 -0.158	 -0.103
           3330	 -0.043	 -0.145	 -0.103	  0.093	  0.030	 -0.123	  0.013	 -0.125	 -0.203	 -0.243	 -0.153	 -0.100
           3331	 -0.040	 -0.150	 -0.110	  0.095	  0.035	 -0.130	  0.008	 -0.123	 -0.208	 -0.253	 -0.160	 -0.108
           3332	 -0.035	 -0.145	 -0.110	  0.090	  0.038	 -0.128	  0.003	 -0.128	 -0.213	 -0.245	 -0.153	 -0.103
           3333	 -0.033	 -0.148	 -0.115	  0.090	  0.040	 -0.130	  0.008	 -0.123	 -0.213	 -0.255	 -0.158	 -0.105
           3334	 -0.033	 -0.143	 -0.110	  0.088	  0.038	 -0.125	  0.005	 -0.128	 -0.213	 -0.250	 -0.155	 -0.103
           3335	 -0.035	 -0.148	 -0.110	  0.090	  0.038	 -0.128	  0.005	 -0.125	 -0.208	 -0.258	 -0.168	 -0.108
           3336	 -0.043	 -0.150	 -0.108	  0.095	  0.033	 -0.128	  0.003	 -0.133	 -0.205	 -0.250	 -0.163	 -0.105
           3337	 -0.048	 -0.153	 -0.108	  0.100	  0.030	 -0.128	  0.008	 -0.130	 -0.205	 -0.258	 -0.168	 -0.108
           3338	 -0.043	 -0.148	 -0.105	  0.095	  0.030	 -0.125	  0.003	 -0.138	 -0.213	 -0.250	 -0.163	 -0.105
           3339	 -0.035	 -0.145	 -0.108	  0.090	  0.035	 -0.125	 -0.003	 -0.138	 -0.215	 -0.255	 -0.170	 -0.108
           3340	 -0.035	 -0.148	 -0.113	  0.090	  0.038	 -0.130	 -0.010	 -0.138	 -0.213	 -0.253	 -0.165	 -0.105
           3341	 -0.040	 -0.153	 -0.113	  0.095	  0.035	 -0.133	 -0.008	 -0.133	 -0.208	 -0.263	 -0.165	 -0.105
