sample interval	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
    (0.001 sec)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
           3621	  0.073	  0.193	  0.120	 -0.133	 -0.023	  0.155	  0.080	  0.463	  0.590	  0.413	  0.235	  0.140
           3622	  0.083	  0.198	  0.115	 -0.140	 -0.015	  0.155	  0.075	  0.468	  0.590	  0.415	  0.235	  0.143
           3623	  0.085	  0.198	  0.113	 -0.143	 -0.013	  0.155	  0.073	  0.470	  0.593	  0.415	  0.238	  0.143
           3624	  0.083	  0.203	  0.120	 -0.143	 -0.018	  0.160	  0.073	  0.473	  0.603	  0.420	  0.245	  0.140
           3625	  0.080	  0.205	  0.125	 -0.143	 -0.023	  0.165	  0.078	  0.478	  0.610	  0.425	  0.248	  0.138
           3626	  0.085	  0.210	  0.125	 -0.148	 -0.020	  0.168	  0.078	  0.485	  0.615	  0.435	  0.250	  0.143
           3627	  0.088	  0.215	  0.125	 -0.150	 -0.020	  0.170	  0.075	  0.488	  0.620	  0.445	  0.255	  0.148
           3628	  0.085	  0.220	  0.135	 -0.153	 -0.025	  0.178	  0.070	  0.488	  0.625	  0.458	  0.263	  0.153
           3629	  0.080	  0.223	  0.143	 -0.153	 -0.030	  0.183	  0.070	  0.488	  0.628	  0.465	  0.268	  0.150
           3630	  0.083	  0.225	  0.143	 -0.153	 -0.030	  0.183	  0.073	  0.493	  0.628	  0.473	  0.268	  0.150
           3631	  0.088	  0.223	  0.138	 -0.153	 -0.025	  0.178	  0.075	  0.498	  0.630	  0.478	  0.270	  0.155
           3632	  0.088	  0.225	  0.138	 -0.155	 -0.025	  0.180	  0.073	  0.500	  0.635	  0.485	  0.283	  0.165
           3633	  0.085	  0.228	  0.143	 -0.155	 -0.028	  0.185	  0.070	  0.503	  0.643	  0.490	  0.293	  0.170
           3634	  0.085	  0.233	  0.148	 -0.158	 -0.030	  0.190	  0.070	  0.508	  0.650	  0.495	  0.295	  0.173
           3635	  0.090	  0.235	  0.145	 -0.160	 -0.028	  0.190	  0.073	  0.510	  0.658	  0.498	  0.293	  0.173
           3636	  0.093	  0.240	  0.148	 -0.165	 -0.028	  0.193	  0.070	  0.510	  0.663	  0.505	  0.298	  0.178
           3637	  0.090	  0.245	  0.155	 -0.165	 -0.033	  0.198	  0.065	  0.508	  0.665	  0.510	  0.305	  0.180
           3638	  0.088	  0.250	  0.163	 -0.168	 -0.038	  0.205	  0.060	  0.513	  0.668	  0.518	  0.310	  0.183
           3639	  0.090	  0.253	  0.165	 -0.170	 -0.038	  0.208	  0.058	  0.520	  0.670	  0.523	  0.310	  0.183
           3640	  0.093	  0.255	  0.163	 -0.173	 -0.035	  0.208	  0.060	  0.525	  0.678	  0.530	  0.313	  0.188
           3641	  0.093	  0.255	  0.160	 -0.173	 -0.033	  0.205	  0.063	  0.523	  0.683	  0.538	  0.320	  0.195
           3642	  0.093	  0.255	  0.163	 -0.173	 -0.035	  0.208	  0.063	  0.523	  0.685	  0.545	  0.330	  0.200
           3643	  0.095	  0.260	  0.165	 -0.178	 -0.035	  0.213	  0.063	  0.528	  0.685	  0.550	  0.335	  0.205
           3644	  0.103	  0.270	  0.168	 -0.185	 -0.033	  0.218	  0.065	  0.530	  0.685	  0.553	  0.338	  0.208
           3645	  0.108	  0.278	  0.170	 -0.190	 -0.033	  0.223	  0.065	  0.530	  0.690	  0.555	  0.338	  0.210
           3646	  0.103	  0.278	  0.175	 -0.190	 -0.035	  0.225	  0.060	  0.530	  0.698	  0.558	  0.340	  0.210
           3647	  0.098	  0.275	  0.178	 -0.188	 -0.040	  0.225	  0.055	  0.535	  0.703	  0.565	  0.343	  0.213
           3648	  0.098	  0.278	  0.180	 -0.188	 -0.040	  0.228	  0.055	  0.540	  0.700	  0.573	  0.348	  0.218
           3649	  0.105	  0.285	  0.180	 -0.193	 -0.038	  0.233	  0.055	  0.543	  0.698	  0.580	  0.355	  0.225
           3650	  0.110	  0.293	  0.183	 -0.200	 -0.035	  0.238	  0.048	  0.540	  0.698	  0.583	  0.363	  0.228
           3651	  0.113	  0.295	  0.185	 -0.203	 -0.035	  0.240	  0.038	  0.538	  0.700	  0.585	  0.365	  0.228
           3652	  0.110	  0.295	  0.185	 -0.203	 -0.038	  0.240	  0.038	  0.535	  0.703	  0.588	  0.368	  0.228
           3653	  0.110	  0.295	  0.185	 -0.200	 -0.040	  0.240	  0.045	  0.535	  0.705	  0.590	  0.373	  0.233
           3654	  0.108	  0.295	  0.188	 -0.200	 -0.040	  0.240	  0.050	  0.538	  0.708	  0.595	  0.378	  0.238
           3655	  0.105	  0.295	  0.190	 -0.200	 -0.043	  0.243	  0.048	  0.543	  0.713	  0.603	  0.378	  0.243
           3656	  0.105	  0.295	  0.190	 -0.200	 -0.043	  0.243	  0.045	  0.545	  0.713	  0.610	  0.378	  0.245
           3657	  0.105	  0.298	  0.190	 -0.200	 -0.043	  0.243	  0.048	  0.545	  0.713	  0.615	  0.383	  0.248
           3658	  0.108	  0.300	  0.193	 -0.203	 -0.043	  0.245	  0.050	  0.543	  0.710	  0.615	  0.393	  0.250
           3659	  0.110	  0.305	  0.195	 -0.205	 -0.043	  0.248	  0.045	  0.545	  0.710	  0.615	  0.400	  0.253
           3660	  0.110	  0.308	  0.198	 -0.208	 -0.043	  0.253	  0.038	  0.548	  0.710	  0.618	  0.398	  0.253
           3661	  0.110	  0.310	  0.200	 -0.210	 -0.045	  0.255	  0.035	  0.548	  0.710	  0.620	  0.395	  0.250
           3662	  0.110	  0.313	  0.203	 -0.210	 -0.045	  0.258	  0.035	  0.543	  0.708	  0.623	  0.393	  0.248
           3663	  0.113	  0.315	  0.205	 -0.213	 -0.045	  0.260	  0.035	  0.535	  0.710	  0.625	  0.393	  0.248
           3664	  0.115	  0.320	  0.205	 -0.218	 -0.045	  0.263	  0.030	  0.533	  0.710	  0.628	  0.395	  0.253
           3665	  0.115	  0.323	  0.208	 -0.218	 -0.045	  0.263	  0.028	  0.535	  0.710	  0.633	  0.403	  0.260
           3666	  0.113	  0.320	  0.208	 -0.215	 -0.048	  0.263	  0.025	  0.538	  0.703	  0.638	  0.413	  0.265
           3667	  0.113	  0.320	  0.208	 -0.213	 -0.048	  0.263	  0.023	  0.540	  0.700	  0.640	  0.420	  0.263
           3668	  0.115	  0.323	  0.208	 -0.218	 -0.045	  0.265	  0.023	  0.538	  0.700	  0.640	  0.418	  0.263
           3669	  0.120	  0.330	  0.210	 -0.225	 -0.045	  0.270	  0.025	  0.535	  0.703	  0.643	  0.413	  0.268
           3670	  0.120	  0.335	  0.215	 -0.228	 -0.048	  0.275	  0.025	  0.533	  0.703	  0.643	  0.413	  0.273
           3671	  0.115	  0.335	  0.220	 -0.225	 -0.053	  0.278	  0.018	  0.533	  0.700	  0.643	  0.418	  0.275
           3672	  0.115	  0.335	  0.220	 -0.225	 -0.053	  0.278	  0.010	  0.530	  0.695	  0.643	  0.420	  0.270
           3673	  0.120	  0.338	  0.218	 -0.230	 -0.050	  0.278	  0.008	  0.528	  0.693	  0.643	  0.418	  0.268
           3674	  0.125	  0.340	  0.215	 -0.233	 -0.045	  0.278	  0.013	  0.523	  0.690	  0.645	  0.418	  0.265
           3675	  0.125	  0.340	  0.215	 -0.233	 -0.045	  0.278	  0.015	  0.518	  0.690	  0.648	  0.423	  0.265
           3676	  0.120	  0.338	  0.218	 -0.228	 -0.048	  0.278	  0.015	  0.515	  0.693	  0.650	  0.428	  0.268
           3677	  0.115	  0.335	  0.220	 -0.223	 -0.053	  0.278	  0.018	  0.520	  0.698	  0.653	  0.430	  0.275
           3678	  0.113	  0.335	  0.223	 -0.223	 -0.055	  0.278	  0.020	  0.523	  0.693	  0.655	  0.430	  0.280
           3679	  0.115	  0.338	  0.225	 -0.225	 -0.055	  0.280	  0.018	  0.520	  0.685	  0.658	  0.428	  0.283
           3680	  0.118	  0.343	  0.225	 -0.230	 -0.053	  0.283	  0.008	  0.513	  0.678	  0.658	  0.425	  0.278
           3681	  0.120	  0.345	  0.225	 -0.233	 -0.053	  0.285	  0.005	  0.513	  0.678	  0.658	  0.423	  0.275
           3682	  0.118	  0.345	  0.228	 -0.230	 -0.055	  0.285	  0.008	  0.513	  0.678	  0.655	  0.425	  0.275
           3683	  0.115	  0.345	  0.230	 -0.228	 -0.060	  0.285	  0.013	  0.513	  0.678	  0.655	  0.430	  0.280
           3684	  0.113	  0.345	  0.233	 -0.228	 -0.060	  0.288	  0.010	  0.505	  0.673	  0.655	  0.433	  0.283
           3685	  0.115	  0.350	  0.235	 -0.233	 -0.060	  0.293	  0.008	  0.500	  0.673	  0.658	  0.433	  0.283
           3686	  0.120	  0.355	  0.235	 -0.238	 -0.058	  0.295	  0.005	  0.498	  0.673	  0.658	  0.430	  0.280
           3687	  0.123	  0.358	  0.235	 -0.240	 -0.058	  0.298	  0.003	  0.498	  0.673	  0.660	  0.433	  0.278
           3688	  0.120	  0.355	  0.235	 -0.238	 -0.058	  0.295	 -0.005	  0.490	  0.665	  0.658	  0.435	  0.278
           3689	  0.115	  0.353	  0.238	 -0.235	 -0.060	  0.295	 -0.008	  0.488	  0.660	  0.658	  0.433	  0.280
           3690	  0.113	  0.353	  0.240	 -0.233	 -0.063	  0.295	 -0.003	  0.485	  0.658	  0.660	  0.430	  0.280
           3691	  0.113	  0.358	  0.243	 -0.235	 -0.065	  0.300	  0.003	  0.485	  0.658	  0.665	  0.433	  0.280
           3692	  0.118	  0.360	  0.243	 -0.238	 -0.063	  0.300	  0.000	  0.478	  0.650	  0.665	  0.435	  0.280
           3693	  0.120	  0.360	  0.240	 -0.240	 -0.060	  0.298	 -0.008	  0.473	  0.648	  0.665	  0.438	  0.283
           3694	  0.118	  0.353	  0.235	 -0.235	 -0.058	  0.293	 -0.013	  0.473	  0.648	  0.663	  0.438	  0.288
           3695	  0.115	  0.350	  0.235	 -0.233	 -0.060	  0.293	 -0.013	  0.475	  0.650	  0.663	  0.435	  0.288
           3696	  0.115	  0.353	  0.238	 -0.233	 -0.060	  0.295	 -0.013	  0.465	  0.640	  0.660	  0.433	  0.280
           3697	  0.118	  0.358	  0.240	 -0.235	 -0.060	  0.298	 -0.013	  0.455	  0.633	  0.658	  0.433	  0.273
           3698	  0.113	  0.353	  0.240	 -0.233	 -0.063	  0.295	 -0.013	  0.448	  0.625	  0.653	  0.433	  0.273
           3699	  0.105	  0.345	  0.238	 -0.225	 -0.065	  0.290	 -0.013	  0.450	  0.628	  0.653	  0.435	  0.278
           3700	  0.105	  0.340	  0.235	 -0.223	 -0.065	  0.288	 -0.013	  0.448	  0.623	  0.648	  0.433	  0.280
           3701	  0.110	  0.345	  0.233	 -0.228	 -0.060	  0.290	 -0.013	  0.440	  0.615	  0.643	  0.428	  0.275
           3702	  0.115	  0.348	  0.233	 -0.230	 -0.058	  0.290	 -0.010	  0.430	  0.603	  0.635	  0.420	  0.270
           3703	  0.113	  0.345	  0.233	 -0.228	 -0.060	  0.290	 -0.010	  0.428	  0.598	  0.630	  0.413	  0.268
           3704	  0.105	  0.338	  0.233	 -0.220	 -0.063	  0.285	 -0.015	  0.425	  0.593	  0.625	  0.408	  0.268
           3705	  0.100	  0.333	  0.233	 -0.215	 -0.065	  0.283	 -0.018	  0.423	  0.593	  0.623	  0.408	  0.268
           3706	  0.095	  0.328	  0.233	 -0.210	 -0.068	  0.280	 -0.015	  0.418	  0.588	  0.618	  0.408	  0.268
           3707	  0.090	  0.323	  0.233	 -0.208	 -0.070	  0.278	 -0.010	  0.415	  0.583	  0.613	  0.408	  0.268
           3708	  0.090	  0.320	  0.230	 -0.205	 -0.070	  0.275	 -0.008	  0.408	  0.570	  0.598	  0.400	  0.263
           3709	  0.095	  0.323	  0.228	 -0.208	 -0.065	  0.273	 -0.010	  0.400	  0.558	  0.585	  0.390	  0.255
           3710	  0.098	  0.320	  0.223	 -0.208	 -0.063	  0.270	 -0.008	  0.390	  0.548	  0.573	  0.380	  0.245
           3711	  0.093	  0.315	  0.223	 -0.203	 -0.065	  0.268	  0.000	  0.390	  0.545	  0.568	  0.375	  0.243
           3712	  0.085	  0.305	  0.220	 -0.195	 -0.068	  0.263	  0.003	  0.385	  0.538	  0.560	  0.365	  0.240
           3713	  0.083	  0.300	  0.218	 -0.193	 -0.068	  0.260	  0.000	  0.378	  0.528	  0.550	  0.355	  0.235
           3714	  0.085	  0.298	  0.213	 -0.190	 -0.063	  0.255	 -0.005	  0.365	  0.510	  0.533	  0.348	  0.228
           3715	  0.088	  0.295	  0.208	 -0.190	 -0.060	  0.253	 -0.005	  0.360	  0.500	  0.520	  0.343	  0.220
           3716	  0.085	  0.290	  0.205	 -0.188	 -0.060	  0.248	 -0.005	  0.353	  0.488	  0.505	  0.335	  0.215
           3717	  0.083	  0.285	  0.203	 -0.185	 -0.060	  0.243	 -0.005	  0.348	  0.478	  0.495	  0.325	  0.210
           3718	  0.078	  0.278	  0.200	 -0.178	 -0.060	  0.238	 -0.008	  0.335	  0.465	  0.483	  0.313	  0.205
           3719	  0.073	  0.270	  0.198	 -0.170	 -0.063	  0.233	 -0.005	  0.328	  0.458	  0.475	  0.305	  0.203
           3720	  0.068	  0.260	  0.193	 -0.163	 -0.063	  0.225	 -0.003	  0.323	  0.445	  0.460	  0.298	  0.198
           3721	  0.068	  0.253	  0.188	 -0.160	 -0.060	  0.220	 -0.003	  0.318	  0.438	  0.443	  0.290	  0.190
           3722	  0.065	  0.245	  0.180	 -0.155	 -0.058	  0.213	 -0.003	  0.308	  0.423	  0.420	  0.280	  0.180
           3723	  0.063	  0.240	  0.178	 -0.150	 -0.055	  0.208	  0.000	  0.300	  0.413	  0.410	  0.273	  0.175
           3724	  0.060	  0.233	  0.173	 -0.145	 -0.055	  0.203	  0.003	  0.290	  0.398	  0.398	  0.263	  0.173
           3725	  0.060	  0.228	  0.168	 -0.143	 -0.053	  0.198	  0.003	  0.285	  0.388	  0.385	  0.253	  0.170
           3726	  0.060	  0.223	  0.163	 -0.140	 -0.050	  0.193	  0.000	  0.273	  0.373	  0.365	  0.238	  0.160
           3727	  0.055	  0.215	  0.160	 -0.135	 -0.050	  0.188	 -0.003	  0.265	  0.363	  0.353	  0.228	  0.153
           3728	  0.050	  0.208	  0.158	 -0.128	 -0.053	  0.183	 -0.003	  0.255	  0.348	  0.343	  0.218	  0.145
           3729	  0.048	  0.203	  0.155	 -0.125	 -0.053	  0.178	  0.000	  0.253	  0.338	  0.333	  0.210	  0.143
           3730	  0.048	  0.198	  0.150	 -0.123	 -0.050	  0.173	  0.000	  0.245	  0.323	  0.315	  0.200	  0.135
           3731	  0.048	  0.193	  0.148	 -0.120	 -0.050	  0.168	  0.000	  0.238	  0.315	  0.300	  0.193	  0.128
           3732	  0.043	  0.185	  0.143	 -0.113	 -0.050	  0.163	  0.000	  0.225	  0.300	  0.280	  0.183	  0.118
           3733	  0.040	  0.178	  0.138	 -0.110	 -0.050	  0.158	 -0.003	  0.215	  0.288	  0.265	  0.170	  0.113
           3734	  0.040	  0.170	  0.130	 -0.105	 -0.045	  0.150	 -0.003	  0.208	  0.273	  0.248	  0.155	  0.110
           3735	  0.040	  0.165	  0.125	 -0.100	 -0.043	  0.145	  0.003	  0.205	  0.265	  0.238	  0.148	  0.108
           3736	  0.035	  0.158	  0.123	 -0.095	 -0.043	  0.140	  0.008	  0.195	  0.250	  0.228	  0.138	  0.100
           3737	  0.033	  0.155	  0.123	 -0.093	 -0.045	  0.140	  0.008	  0.185	  0.238	  0.220	  0.130	  0.090
           3738	  0.030	  0.150	  0.120	 -0.090	 -0.045	  0.135	  0.000	  0.170	  0.223	  0.203	  0.120	  0.080
           3739	  0.030	  0.145	  0.115	 -0.088	 -0.043	  0.130	 -0.005	  0.165	  0.215	  0.188	  0.115	  0.075
           3740	  0.030	  0.135	  0.105	 -0.083	 -0.038	  0.120	 -0.003	  0.163	  0.205	  0.170	  0.110	  0.070
           3741	  0.030	  0.128	  0.098	 -0.078	 -0.035	  0.113	  0.003	  0.158	  0.198	  0.160	  0.105	  0.068
           3742	  0.025	  0.118	  0.093	 -0.070	 -0.033	  0.105	  0.005	  0.145	  0.183	  0.148	  0.095	  0.063
           3743	  0.020	  0.110	  0.090	 -0.065	 -0.035	  0.100	  0.005	  0.135	  0.175	  0.138	  0.090	  0.063
           3744	  0.015	  0.100	  0.085	 -0.058	 -0.035	  0.093	  0.008	  0.128	  0.163	  0.125	  0.083	  0.060
           3745	  0.013	  0.095	  0.080	 -0.055	 -0.033	  0.088	  0.013	  0.123	  0.153	  0.118	  0.075	  0.058
           3746	  0.013	  0.088	  0.075	 -0.050	 -0.030	  0.080	  0.013	  0.110	  0.138	  0.108	  0.065	  0.048
           3747	  0.013	  0.083	  0.070	 -0.045	 -0.028	  0.075	  0.008	  0.100	  0.130	  0.098	  0.063	  0.040
           3748	  0.010	  0.073	  0.063	 -0.040	 -0.025	  0.068	  0.003	  0.093	  0.123	  0.080	  0.058	  0.038
           3749	  0.008	  0.068	  0.058	 -0.038	 -0.025	  0.063	  0.008	  0.093	  0.118	  0.068	  0.053	  0.038
           3750	  0.005	  0.060	  0.055	 -0.033	 -0.025	  0.058	  0.018	  0.088	  0.108	  0.058	  0.043	  0.030
           3751	  0.000	  0.055	  0.055	 -0.028	 -0.028	  0.055	  0.023	  0.085	  0.100	  0.055	  0.035	  0.025
           3752	 -0.003	  0.050	  0.053	 -0.023	 -0.028	  0.050	  0.018	  0.080	  0.088	  0.050	  0.030	  0.020
           3753	 -0.003	  0.048	  0.050	 -0.023	 -0.025	  0.048	  0.015	  0.075	  0.078	  0.045	  0.028	  0.020
           3754	 -0.003	  0.043	  0.045	 -0.020	 -0.023	  0.043	  0.018	  0.068	  0.065	  0.033	  0.018	  0.015
           3755	 -0.005	  0.035	  0.040	 -0.015	 -0.020	  0.035	  0.023	  0.065	  0.060	  0.023	  0.010	  0.008
           3756	 -0.005	  0.025	  0.030	 -0.010	 -0.018	  0.028	  0.025	  0.058	  0.050	  0.010	  0.000	  0.000
           3757	 -0.003	  0.023	  0.023	 -0.010	 -0.013	  0.023	  0.023	  0.053	  0.045	  0.000	 -0.005	 -0.003
           3758	  0.000	  0.020	  0.020	 -0.010	 -0.010	  0.020	  0.018	  0.043	  0.035	 -0.013	 -0.015	 -0.008
           3759	  0.000	  0.020	  0.020	 -0.010	 -0.010	  0.020	  0.018	  0.038	  0.028	 -0.018	 -0.020	 -0.015
           3760	 -0.005	  0.015	  0.020	 -0.005	 -0.013	  0.018	  0.020	  0.030	  0.018	 -0.025	 -0.025	 -0.020
           3761	 -0.005	  0.013	  0.018	 -0.003	 -0.010	  0.015	  0.023	  0.028	  0.013	 -0.028	 -0.023	 -0.018
           3762	 -0.003	  0.008	  0.010	 -0.003	 -0.005	  0.008	  0.023	  0.023	  0.005	 -0.040	 -0.028	 -0.015
           3763	 -0.003	  0.005	  0.008	 -0.003	 -0.003	  0.005	  0.020	  0.018	  0.003	 -0.050	 -0.033	 -0.018
           3764	 -0.008	  0.000	  0.008	  0.003	 -0.008	  0.003	  0.020	  0.010	 -0.008	 -0.063	 -0.043	 -0.030
           3765	 -0.013	 -0.005	  0.008	  0.008	 -0.013	  0.003	  0.020	  0.005	 -0.015	 -0.065	 -0.048	 -0.038
           3766	 -0.015	 -0.010	  0.005	  0.013	 -0.010	 -0.003	  0.018	  0.000	 -0.025	 -0.070	 -0.053	 -0.038
           3767	 -0.015	 -0.013	  0.003	  0.013	 -0.008	 -0.005	  0.018	  0.000	 -0.028	 -0.068	 -0.053	 -0.033
           3768	 -0.015	 -0.018	 -0.003	  0.015	 -0.005	 -0.010	  0.020	 -0.003	 -0.030	 -0.073	 -0.058	 -0.035
           3769	 -0.018	 -0.020	 -0.003	  0.018	 -0.008	 -0.010	  0.025	 -0.003	 -0.028	 -0.075	 -0.060	 -0.038
           3770	 -0.020	 -0.025	 -0.005	  0.023	 -0.008	 -0.015	  0.025	 -0.008	 -0.033	 -0.083	 -0.063	 -0.040
           3771	 -0.020	 -0.028	 -0.008	  0.025	 -0.005	 -0.018	  0.020	 -0.008	 -0.038	 -0.085	 -0.063	 -0.040
           3772	 -0.020	 -0.033	 -0.013	  0.025	 -0.003	 -0.023	  0.018	 -0.010	 -0.048	 -0.095	 -0.068	 -0.045
           3773	 -0.020	 -0.035	 -0.015	  0.025	 -0.003	 -0.023	  0.020	 -0.013	 -0.053	 -0.098	 -0.073	 -0.048
           3774	 -0.023	 -0.040	 -0.018	  0.030	 -0.003	 -0.028	  0.023	 -0.023	 -0.058	 -0.105	 -0.078	 -0.048
           3775	 -0.028	 -0.045	 -0.018	  0.035	 -0.005	 -0.030	  0.023	 -0.025	 -0.055	 -0.105	 -0.078	 -0.045
           3776	 -0.030	 -0.050	 -0.020	  0.040	 -0.005	 -0.035	  0.018	 -0.025	 -0.060	 -0.110	 -0.080	 -0.050
           3777	 -0.025	 -0.048	 -0.023	  0.038	 -0.003	 -0.035	  0.018	 -0.023	 -0.063	 -0.113	 -0.080	 -0.055
           3778	 -0.023	 -0.048	 -0.025	  0.035	  0.000	 -0.035	  0.023	 -0.025	 -0.070	 -0.120	 -0.080	 -0.058
           3779	 -0.025	 -0.050	 -0.025	  0.038	  0.000	 -0.038	  0.030	 -0.028	 -0.068	 -0.120	 -0.078	 -0.050
           3780	 -0.030	 -0.055	 -0.025	  0.043	 -0.003	 -0.040	  0.030	 -0.030	 -0.073	 -0.125	 -0.083	 -0.048
           3781	 -0.028	 -0.053	 -0.025	  0.040	 -0.003	 -0.040	  0.023	 -0.030	 -0.075	 -0.128	 -0.090	 -0.050
           3782	 -0.023	 -0.053	 -0.030	  0.038	  0.003	 -0.040	  0.015	 -0.035	 -0.085	 -0.138	 -0.098	 -0.060
           3783	 -0.018	 -0.055	 -0.035	  0.038	  0.008	 -0.043	  0.015	 -0.035	 -0.085	 -0.140	 -0.095	 -0.065
           3784	 -0.023	 -0.063	 -0.040	  0.043	  0.008	 -0.050	  0.020	 -0.038	 -0.088	 -0.143	 -0.093	 -0.065
           3785	 -0.025	 -0.065	 -0.038	  0.045	  0.005	 -0.050	  0.023	 -0.038	 -0.088	 -0.143	 -0.093	 -0.065
           3786	 -0.025	 -0.063	 -0.038	  0.043	  0.005	 -0.050	  0.023	 -0.045	 -0.095	 -0.148	 -0.100	 -0.070
           3787	 -0.020	 -0.058	 -0.038	  0.038	  0.008	 -0.048	  0.020	 -0.045	 -0.095	 -0.148	 -0.103	 -0.073
           3788	 -0.020	 -0.060	 -0.040	  0.040	  0.010	 -0.050	  0.018	 -0.040	 -0.098	 -0.150	 -0.103	 -0.070
           3789	 -0.020	 -0.060	 -0.040	  0.043	  0.008	 -0.050	  0.018	 -0.033	 -0.093	 -0.148	 -0.103	 -0.065
           3790	 -0.023	 -0.063	 -0.040	  0.043	  0.008	 -0.050	  0.020	 -0.035	 -0.095	 -0.153	 -0.108	 -0.068
           3791	 -0.020	 -0.065	 -0.043	  0.043	  0.010	 -0.053	  0.020	 -0.040	 -0.093	 -0.153	 -0.110	 -0.068
           3792	 -0.020	 -0.070	 -0.050	  0.045	  0.015	 -0.060	  0.020	 -0.045	 -0.095	 -0.155	 -0.110	 -0.068
           3793	 -0.020	 -0.070	 -0.053	  0.045	  0.018	 -0.063	  0.018	 -0.043	 -0.095	 -0.153	 -0.108	 -0.065
           3794	 -0.020	 -0.070	 -0.050	  0.045	  0.015	 -0.060	  0.020	 -0.045	 -0.103	 -0.155	 -0.108	 -0.070
           3795	 -0.023	 -0.068	 -0.045	  0.045	  0.010	 -0.055	  0.025	 -0.045	 -0.100	 -0.155	 -0.105	 -0.075
           3796	 -0.025	 -0.070	 -0.045	  0.048	  0.010	 -0.058	  0.030	 -0.048	 -0.100	 -0.160	 -0.105	 -0.078
           3797	 -0.025	 -0.073	 -0.048	  0.050	  0.013	 -0.060	  0.028	 -0.043	 -0.095	 -0.158	 -0.103	 -0.070
           3798	 -0.025	 -0.075	 -0.050	  0.050	  0.013	 -0.063	  0.025	 -0.040	 -0.095	 -0.160	 -0.108	 -0.065
           3799	 -0.025	 -0.075	 -0.050	  0.048	  0.013	 -0.063	  0.025	 -0.038	 -0.093	 -0.155	 -0.108	 -0.065
           3800	 -0.025	 -0.078	 -0.053	  0.050	  0.013	 -0.065	  0.025	 -0.040	 -0.095	 -0.158	 -0.108	 -0.073
           3801	 -0.025	 -0.078	 -0.055	  0.050	  0.015	 -0.068	  0.025	 -0.040	 -0.095	 -0.160	 -0.105	 -0.075
           3802	 -0.025	 -0.080	 -0.055	  0.053	  0.015	 -0.068	  0.025	 -0.043	 -0.100	 -0.165	 -0.108	 -0.073
           3803	 -0.030	 -0.080	 -0.050	  0.055	  0.010	 -0.065	  0.028	 -0.038	 -0.095	 -0.160	 -0.105	 -0.068
           3804	 -0.035	 -0.080	 -0.045	  0.058	  0.005	 -0.063	  0.033	 -0.035	 -0.095	 -0.158	 -0.105	 -0.065
           3805	 -0.033	 -0.078	 -0.045	  0.055	  0.005	 -0.060	  0.030	 -0.033	 -0.093	 -0.155	 -0.105	 -0.065
           3806	 -0.025	 -0.075	 -0.050	  0.050	  0.013	 -0.063	  0.025	 -0.038	 -0.100	 -0.163	 -0.113	 -0.073
           3807	 -0.023	 -0.075	 -0.053	  0.048	  0.015	 -0.065	  0.023	 -0.038	 -0.100	 -0.163	 -0.118	 -0.075
           3808	 -0.030	 -0.083	 -0.053	  0.055	  0.010	 -0.068	  0.028	 -0.035	 -0.098	 -0.160	 -0.118	 -0.078
           3809	 -0.038	 -0.085	 -0.048	  0.060	  0.005	 -0.065	  0.028	 -0.030	 -0.093	 -0.153	 -0.108	 -0.075
           3810	 -0.035	 -0.080	 -0.045	  0.058	  0.005	 -0.063	  0.023	 -0.035	 -0.095	 -0.160	 -0.105	 -0.075
           3811	 -0.028	 -0.073	 -0.045	  0.050	  0.010	 -0.058	  0.018	 -0.040	 -0.095	 -0.165	 -0.105	 -0.075
           3812	 -0.025	 -0.070	 -0.045	  0.048	  0.010	 -0.058	  0.023	 -0.045	 -0.095	 -0.170	 -0.110	 -0.075
           3813	 -0.028	 -0.070	 -0.040	  0.050	  0.005	 -0.055	  0.030	 -0.043	 -0.090	 -0.165	 -0.108	 -0.075
           3814	 -0.030	 -0.070	 -0.040	  0.050	  0.005	 -0.055	  0.028	 -0.043	 -0.093	 -0.165	 -0.108	 -0.078
           3815	 -0.025	 -0.068	 -0.043	  0.045	  0.008	 -0.055	  0.020	 -0.040	 -0.093	 -0.165	 -0.105	 -0.078
           3816	 -0.023	 -0.070	 -0.048	  0.045	  0.013	 -0.058	  0.015	 -0.040	 -0.095	 -0.168	 -0.110	 -0.075
           3817	 -0.025	 -0.073	 -0.048	  0.048	  0.010	 -0.058	  0.018	 -0.035	 -0.088	 -0.160	 -0.113	 -0.070
           3818	 -0.030	 -0.073	 -0.043	  0.050	  0.005	 -0.058	  0.025	 -0.038	 -0.085	 -0.158	 -0.118	 -0.073
           3819	 -0.033	 -0.070	 -0.038	  0.050	  0.003	 -0.055	  0.028	 -0.038	 -0.080	 -0.155	 -0.118	 -0.073
           3820	 -0.033	 -0.073	 -0.040	  0.053	  0.003	 -0.055	  0.028	 -0.035	 -0.083	 -0.158	 -0.118	 -0.073
           3821	 -0.033	 -0.073	 -0.043	  0.053	  0.003	 -0.055	  0.023	 -0.028	 -0.083	 -0.155	 -0.110	 -0.068
           3822	 -0.033	 -0.073	 -0.040	  0.053	  0.003	 -0.055	  0.018	 -0.025	 -0.085	 -0.160	 -0.110	 -0.070
